Full Name,Primary Company,Founding Time,Previous startups?,Consulting before start-up,Standardized University,Standardized Major,Degree Type,Graduate Degree Time,Standardized Graduate Institution,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,Years of Employment,Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?,Stanford or Berkeley,Ivy League,Crunchbase,LinkedIn
Chad Hurley,YouTube,2005.0,0.0,0.0,Indiana University of Pennsylvania,Design,,,,,,0.0,4.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/chad-hurley,http://www.linkedin.com/profile/view?id=5711
Gwyneth Paltrow,Goop Inc.,2008.0,0.0,0.0,,,,,,,,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/gwyneth-paltrow,https://www.linkedin.com/in/gwyneth-paltrow-483b5511a
Jason Calacanis,Inside.com,2007.0,3.0,0.0,Fordham University,Psychology,BA,,,,,0.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jason-calacanis,http://www.linkedin.com/in/jasoncalacanis
Tony Fadell,Nest Labs,2010.0,1.0,0.0,University of Michigan,Computer Science,BS,,,,,0.0,18.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tony-fadell,http://www.linkedin.com/pub/tony-fadell/0/1/380
Matt Mullenweg,Automattic,2005.0,1.0,0.0,University of Houston,,,,,,,0.0,15.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/matt-mullenweg,http://www.linkedin.com/in/mattm
Eric Lefkofsky,Tempus,2015.0,6.0,0.0,University of Michigan,,BA,1991.0,University of Michigan,Law,JD,1.0,0.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/eric-lefkofsky,http://www.linkedin.com/in/ericlefkofsky
Kevin Systrom,Instagram,2010.0,0.0,0.0,Stanford University,Operations Research,,,,,,0.0,5.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/kevin-systrom,http://www.linkedin.com/in/kevinsystrom
Matt Humphrey,LendingHome,2013.0,4.0,0.0,Carnegie Mellon University,Computer Science,BS,2006.0,Carnegie Mellon University,Business,MBA,0.0,0.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/matt-humphrey,https://www.linkedin.com/in/matthumphrey
Dustin Moskovitz,Asana,2008.0,3.0,0.0,Harvard University,Economics,,,,,,,0.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/dustin-moskovitz,https://www.linkedin.com/in/dmoskov
Jan Koum,WhatsApp,2009.0,0.0,0.0,San Jose State University,Computer Science,BS,,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jan-koum,https://www.linkedin.com/in/jkoum?authType=NAME_SEARCH&authToken=HCrg&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A162251%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1463496543831%2Ctas%3AJan%20Koum
Rob May,Talla,2015.0,2.0,0.0,University of Kentucky,Electrical Engineering,BE,,University of Kentucky,Business,MBA,1.0,18.5,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/rob-may,https://www.linkedin.com/in/robmay
Brian Wong,Kiip,2010.0,3.0,0.0,University of British Columbia,Business,BA,,,,,0.0,4.5,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brian-wong,https://www.linkedin.com/in/wongbrian
Jason Tan,Sift Science,2011.0,0.0,0.0,University of Washington,Computer Science,BE,,,,,0.0,5.5,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jason-tan-3,https://www.linkedin.com/in/jasontan325
Sandeep Aggarwal,Droom Technology,,0.0,0.0,,,,,,,,0.0,11.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/sandeep-aggarwal,https://www.linkedin.com/in/sandeep-aggarwal-abb6a61
Payal Kadakia,ClassPass,2011.0,1.0,1.0,Massachusetts Institute of Technology,Operations Research,BS,,,,,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/payal-kadakia,http://www.linkedin.com/pub/payal-kadakia/2/29/84
Brendan Iribe,Oculus,,1.0,0.0,University of Maryland College Park,Computer Science,Drop,,,,,1.0,13.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brendan-iribe,http://www.linkedin.com/in/brendaniribe
Tom Chavez,Krux,,1.0,0.0,Harvard University,Computer Science,BA,,Stanford University,Operations Research,PhD,0.0,11.0,1.0,0.0,1.0,0.0,0,1,https://www.crunchbase.com/person/tom-chavez,https://www.linkedin.com/in/tommychavez
Tina Sharkey,Brandless,2014.0,0.0,0.0,University of Pennsylvania,International Relations,BA,,,,,0.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tina-sharkey,http://www.linkedin.com/in/tinasharkey
Emmett Shear,Twitch,2011.0,2.0,0.0,Yale University,Computer Science,BS,1997.0,University of Washington,,,0.0,4.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/emmett-shear,http://www.linkedin.com/pub/emmett-shear/1/380/610
Jon Miller,Engagio,2015.0,0.0,1.0,Harvard University,Physics,BA,1997.0,Stanford University,Business,MBA,1.0,8.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jon-miller-2,http://www.linkedin.com/in/jonmiller2
Don Ressler,Fabletics,,0.0,0.0,,,,,,,,0.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/don-ressler,https://www.linkedin.com/company/justfab
Jonah Goodhart,Moat,2010.0,6.0,0.0,Cornell University,Political Science,BA,,,,,0.0,5.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jonah-goodhart,http://www.linkedin.com/in/jonahgoodhart
Ron Gula,"Tenable Network Security, Inc.",2002.0,0.0,0.0,Clarkson University,Electrical Engineering,BS,,Southern Illinois University Edwardsville,Electrical Engineering,MS,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ron-gula,https://www.linkedin.com/pub/ron-gula/0/101/a8
Pau Sabria,Olapic,,0.0,1.0,Technical University of Catalonia,Engineering,BE,2008.0,Columbia University,Business,MS,1.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/pau-sabria,http://www.linkedin.com/in/pausabria
Jack Conte,Patreon,2013.0,0.0,0.0,Stanford University,Music,BA,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jack-conte,https://www.linkedin.com/in/jack-conte-a15a3686
Liz Wessel,WayUp,2014.0,2.0,0.0,University of Pennsylvania,,BA,,,,,1.0,5.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/liz-wessel,https://www.linkedin.com/in/elizabethwessel/
Vlad Tenev,Robinhood,2012.0,0.0,0.0,Stanford University,Mathematics,BA,2008.0,University of California Los Angeles,Mathematics,MA,0.0,10.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/vlad-tenev,https://www.linkedin.com/in/vladimir-tenev-7037591b/
Chris Milk,WITHIN (VR/AR),2014.0,2.0,0.0,Academy of Art University,Film,BA,,University of California Santa Barbara,Film,,0.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/chris-milk,https://www.linkedin.com/pub/chris-milk/83/ab/7ba
Alex Fielding,Ripcord,2015.0,0.0,0.0,San Jose State University,,,,Stanford University,,,0.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/alex-fielding,https://www.linkedin.com/in/ripcord/
Will Marshall,Planet,2012.0,0.0,0.0,University of Leicester,Physics,MS,2000.0,University of Oxford,Physics,PhD,1.0,7.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/will-marshall,https://www.linkedin.com/pub/will-marshall/0/662/715
Ron Gutman,HealthTap,2010.0,1.0,0.0,Stanford University,,,,Stanford University,Business,MBA,1.0,14.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/ron-gutman,http://www.linkedin.com/in/rongutman
